transaction_id	vendor_id	vendor_name	amount	currency	transaction_date	invoice_number	description
TXN-10023	VEND-109	Sapphire Security Systems	8500	INR	24-09-2026 22:29	INV-20023	Goods receipt settlement
TXN-10024	VEND-109	Sapphire Security Systems	42000	INR	03-09-2026 17:40	INV-20024	Service invoice payment
TXN-10025	VEND-107	Prime Components India	34000	INR	07-09-2026 19:09	INV-20025	Purchase order payment
TXN-10026	VEND-102	Vertex Industrial Systems	125000	INR	22-09-2026 16:45	INV-20026	Service invoice payment
TXN-10027	VEND-102	Vertex Industrial Systems	180000	INR	30-09-2026 21:47	INV-20027	Service invoice payment
TXN-10028	VEND-104	BluePeak Consulting	180000	INR	07-09-2026 22:03	INV-20028	Goods receipt settlement
TXN-10029	VEND-105	Orion Manufacturing Co	8500	INR	16-09-2026 04:10	INV-20029	ERP remittance
TXN-10030	VEND-104	BluePeak Consulting	18500	INR	27-09-2026 12:57	INV-20030	Purchase order payment
TXN-10031	VEND-104	BluePeak Consulting	12000	INR	15-09-2026 08:08	INV-20031	ERP remittance
TXN-10032	VEND-109	Sapphire Security Systems	8500	INR	20-09-2026 18:37	INV-20032	Purchase order payment
TXN-10033	VEND-109	Sapphire Security Systems	180000	INR	24-09-2026 11:08	INV-20033	Goods receipt settlement
TXN-10034	VEND-102	Vertex Industrial Systems	84500	INR	13-09-2026 12:41	INV-20034	Purchase order payment
TXN-10035	VEND-108	Metro Facilities Pvt Ltd	22000	INR	21-09-2026 07:20	INV-20035	Supplier invoice settlement
TXN-10036	VEND-106	Nimbus Cloud Services	92000	INR	23-09-2026 13:19	INV-20036	Goods receipt settlement
TXN-10037	VEND-103	Apex Office Supplies	56000	INR	28-09-2026 13:57	INV-20037	ERP remittance
TXN-10038	VEND-101	Global Logistics Solutions	34000	INR	10-09-2026 12:37	INV-20038	Service invoice payment
TXN-10039	VEND-103	Apex Office Supplies	15000	INR	04-09-2026 11:17	INV-20039	Purchase order payment
TXN-10040	VEND-104	BluePeak Consulting	12000	INR	12-09-2026 14:55	INV-20040	Service invoice payment
TXN-10041	VEND-109	Sapphire Security Systems	42000	INR	11-09-2026 17:43	INV-20041	Goods receipt settlement
TXN-10042	VEND-106	Nimbus Cloud Services	15000	INR	12-09-2026 23:51	INV-20042	ERP remittance
TXN-10043	VEND-105	Orion Manufacturing Co	12000	INR	04-09-2026 01:58	INV-20043	Service invoice payment
TXN-10044	VEND-108	Metro Facilities Pvt Ltd	8500	INR	23-09-2026 13:08	INV-20044	Supplier invoice settlement
TXN-10045	VEND-100	TechNova India Pvt Ltd	34000	INR	08-09-2026 20:50	INV-20045	Purchase order payment
TXN-10046	VEND-108	Metro Facilities Pvt Ltd	8500	INR	01-10-2026 02:53	INV-20046	ERP remittance
TXN-10047	VEND-108	Metro Facilities Pvt Ltd	180000	INR	06-09-2026 06:21	INV-20047	ERP remittance
TXN-10048	VEND-104	BluePeak Consulting	18500	INR	02-09-2026 06:14	INV-20048	Purchase order payment
TXN-10049	VEND-107	Prime Components India	125000	INR	05-09-2026 23:21	INV-20049	Goods receipt settlement
TXN-10050	VEND-107	Prime Components India	56000	INR	09-09-2026 22:05	INV-20050	Supplier invoice settlement
TXN-10051	VEND-105	Orion Manufacturing Co	56000	INR	27-09-2026 08:04	INV-20051	Service invoice payment
TXN-10052	VEND-104	BluePeak Consulting	84500	INR	21-09-2026 10:04	INV-20052	Goods receipt settlement
TXN-10053	VEND-100	TechNova India Pvt Ltd	180000	INR	25-09-2026 11:09	INV-20053	ERP remittance
TXN-10054	VEND-107	Prime Components India	34000	INR	05-09-2026 07:15	INV-20054	Goods receipt settlement
TXN-10055	VEND-109	Sapphire Security Systems	8500	INR	22-09-2026 19:43	INV-20055	Service invoice payment
TXN-10056	VEND-105	Orion Manufacturing Co	56000	INR	02-09-2026 15:02	INV-20056	Supplier invoice settlement
TXN-10057	VEND-103	Apex Office Supplies	67500	INR	04-09-2026 13:56	INV-20057	Supplier invoice settlement
TXN-10058	VEND-102	Vertex Industrial Systems	8500	INR	30-09-2026 11:36	INV-20058	ERP remittance
TXN-10059	VEND-103	Apex Office Supplies	12000	INR	26-09-2026 11:07	INV-20059	Supplier invoice settlement
TXN-10060	VEND-106	Nimbus Cloud Services	34000	INR	16-09-2026 08:09	INV-20060	ERP remittance
TXN-10061	VEND-103	Apex Office Supplies	67500	INR	25-09-2026 04:22	INV-20061	Purchase order payment
TXN-10062	VEND-107	Prime Components India	67500	INR	19-09-2026 09:07	INV-20062	Purchase order payment
TXN-10063	VEND-106	Nimbus Cloud Services	56000	INR	25-09-2026 01:57	INV-20063	Supplier invoice settlement
TXN-10064	VEND-106	Nimbus Cloud Services	15000	INR	26-09-2026 00:47	INV-20064	Service invoice payment
TXN-10065	VEND-109	Sapphire Security Systems	27500	INR	24-09-2026 02:40	INV-20065	ERP remittance
TXN-10066	VEND-101	Global Logistics Solutions	34000	INR	05-09-2026 16:22	INV-20066	Purchase order payment
TXN-10067	VEND-104	BluePeak Consulting	42000	INR	19-09-2026 03:08	INV-20067	ERP remittance
TXN-10068	VEND-107	Prime Components India	27500	INR	15-09-2026 18:35	INV-20068	Supplier invoice settlement
TXN-10069	VEND-104	BluePeak Consulting	27500	INR	10-09-2026 00:00	INV-20069	Supplier invoice settlement
TXN-10070	VEND-106	Nimbus Cloud Services	92000	INR	07-09-2026 04:32	INV-20070	Goods receipt settlement
TXN-10071	VEND-100	TechNova India Pvt Ltd	18500	INR	26-09-2026 18:49	INV-20071	Supplier invoice settlement
TXN-10072	VEND-101	Global Logistics Solutions	8500	INR	26-09-2026 18:39	INV-20072	ERP remittance
TXN-10073	VEND-103	Apex Office Supplies	22000	INR	08-09-2026 18:57	INV-20073	Service invoice payment
TXN-10074	VEND-108	Metro Facilities Pvt Ltd	12000	INR	05-09-2026 10:17	INV-20074	ERP remittance
TXN-10075	VEND-102	Vertex Industrial Systems	180000	INR	25-09-2026 19:38	INV-20075	Goods receipt settlement
TXN-10076	VEND-106	Nimbus Cloud Services	15000	INR	26-09-2026 03:03	INV-20076	Service invoice payment
TXN-10077	VEND-104	BluePeak Consulting	180000	INR	25-09-2026 10:40	INV-20077	Service invoice payment
TXN-10078	VEND-101	Global Logistics Solutions	42000	INR	30-09-2026 21:49	INV-20078	Purchase order payment
TXN-10079	VEND-103	Apex Office Supplies	180000	INR	18-09-2026 18:17	INV-20079	Supplier invoice settlement
TXN-10080	VEND-109	Sapphire Security Systems	180000	INR	25-09-2026 02:31	INV-20080	Goods receipt settlement
TXN-10081	VEND-107	Prime Components India	8500	INR	23-09-2026 11:24	INV-20081	ERP remittance
TXN-10082	VEND-108	Metro Facilities Pvt Ltd	180000	INR	12-09-2026 13:02	INV-20082	ERP remittance
TXN-10083	VEND-109	Sapphire Security Systems	180000	INR	20-09-2026 23:42	INV-20083	Goods receipt settlement
TXN-10084	VEND-106	Nimbus Cloud Services	34000	INR	14-09-2026 19:41	INV-20084	ERP remittance
TXN-10085	VEND-103	Apex Office Supplies	15000	INR	27-09-2026 19:22	INV-20085	ERP remittance
TXN-10086	VEND-106	Nimbus Cloud Services	92000	INR	07-09-2026 04:44	INV-20086	Goods receipt settlement
TXN-10087	VEND-108	Metro Facilities Pvt Ltd	34000	INR	23-09-2026 16:24	INV-20087	Purchase order payment
TXN-10088	VEND-104	BluePeak Consulting	67500	INR	23-09-2026 13:51	INV-20088	Supplier invoice settlement
TXN-10089	VEND-104	BluePeak Consulting	92000	INR	05-09-2026 15:23	INV-20089	Supplier invoice settlement
TXN-10090	VEND-101	Global Logistics Solutions	27500	INR	12-09-2026 17:09	INV-20090	Supplier invoice settlement
TXN-10091	VEND-100	TechNova India Pvt Ltd	27500	INR	06-09-2026 03:46	INV-20091	Supplier invoice settlement
TXN-10092	VEND-105	Orion Manufacturing Co	34000	INR	08-09-2026 02:37	INV-20092	Purchase order payment
TXN-10093	VEND-101	Global Logistics Solutions	27500	INR	23-09-2026 06:52	INV-20093	Service invoice payment
TXN-10094	VEND-108	Metro Facilities Pvt Ltd	15000	INR	06-09-2026 06:20	INV-20094	Supplier invoice settlement
TXN-10095	VEND-101	Global Logistics Solutions	67500	INR	02-09-2026 03:11	INV-20095	ERP remittance
TXN-10096	VEND-108	Metro Facilities Pvt Ltd	12000	INR	21-09-2026 19:44	INV-20096	Goods receipt settlement
TXN-10097	VEND-103	Apex Office Supplies	18500	INR	12-09-2026 01:44	INV-20097	Goods receipt settlement
TXN-10098	VEND-105	Orion Manufacturing Co	84500	INR	15-09-2026 13:50	INV-20098	Supplier invoice settlement
TXN-10099	VEND-106	Nimbus Cloud Services	22000	INR	29-09-2026 06:25	INV-20099	Goods receipt settlement
TXN-10100	VEND-101	Global Logistics Solutions	22000	INR	09-09-2026 19:55	INV-20100	Goods receipt settlement
TXN-10101	VEND-106	Nimbus Cloud Services	15000	INR	05-09-2026 08:39	INV-20101	Service invoice payment
TXN-10102	VEND-105	Orion Manufacturing Co	67500	INR	29-09-2026 15:42	INV-20102	Service invoice payment
TXN-10103	VEND-103	Apex Office Supplies	42000	INR	05-09-2026 16:11	INV-20103	ERP remittance
TXN-10104	VEND-107	Prime Components India	84500	INR	16-09-2026 03:28	INV-20104	Supplier invoice settlement
TXN-10105	VEND-106	Nimbus Cloud Services	8500	INR	16-09-2026 09:26	INV-20105	Purchase order payment
TXN-10106	VEND-109	Sapphire Security Systems	56000	INR	10-09-2026 00:42	INV-20106	ERP remittance
TXN-10107	VEND-109	Sapphire Security Systems	8500	INR	01-10-2026 00:32	INV-20107	Service invoice payment
TXN-10108	VEND-101	Global Logistics Solutions	34000	INR	05-09-2026 07:58	INV-20108	Goods receipt settlement
TXN-10109	VEND-102	Vertex Industrial Systems	42000	INR	15-09-2026 16:59	INV-20109	ERP remittance
TXN-10110	VEND-107	Prime Components India	15000	INR	19-09-2026 20:12	INV-20110	Goods receipt settlement
TXN-10111	VEND-103	Apex Office Supplies	84500	INR	25-09-2026 07:13	INV-20111	Service invoice payment
TXN-10112	VEND-100	TechNova India Pvt Ltd	22000	INR	11-09-2026 12:52	INV-20112	Purchase order payment
TXN-10113	VEND-109	Sapphire Security Systems	92000	INR	06-09-2026 03:02	INV-20113	Supplier invoice settlement
TXN-10114	VEND-101	Global Logistics Solutions	42000	INR	01-09-2026 21:22	INV-20114	Service invoice payment
TXN-10115	VEND-104	BluePeak Consulting	67500	INR	19-09-2026 12:35	INV-20115	Goods receipt settlement
TXN-10116	VEND-104	BluePeak Consulting	92000	INR	07-09-2026 01:08	INV-20116	Goods receipt settlement
TXN-10117	VEND-101	Global Logistics Solutions	27500	INR	21-09-2026 03:04	INV-20117	Service invoice payment
TXN-10118	VEND-102	Vertex Industrial Systems	8500	INR	03-09-2026 15:44	INV-20118	Purchase order payment
TXN-10119	VEND-103	Apex Office Supplies	42000	INR	14-09-2026 19:00	INV-20119	Service invoice payment
TXN-10120	VEND-109	Sapphire Security Systems	8500	INR	26-09-2026 22:24	INV-20120	Supplier invoice settlement
TXN-10121	VEND-104	BluePeak Consulting	22000	INR	03-09-2026 20:40	INV-20121	Supplier invoice settlement
TXN-10122	VEND-108	Metro Facilities Pvt Ltd	12000	INR	21-09-2026 20:59	INV-20122	Service invoice payment
TXN-10123	VEND-100	TechNova India Pvt Ltd	22000	INR	26-09-2026 01:27	INV-20123	ERP remittance
TXN-10124	VEND-107	Prime Components India	42000	INR	18-09-2026 12:18	INV-20124	Goods receipt settlement
TXN-10125	VEND-101	Global Logistics Solutions	8500	INR	18-09-2026 00:59	INV-20125	Supplier invoice settlement
TXN-10126	VEND-103	Apex Office Supplies	67500	INR	08-09-2026 00:50	INV-20126	Goods receipt settlement
TXN-10127	VEND-106	Nimbus Cloud Services	92000	INR	19-09-2026 13:33	INV-20127	ERP remittance
TXN-10128	VEND-105	Orion Manufacturing Co	92000	INR	13-09-2026 04:18	INV-20128	ERP remittance
TXN-10129	VEND-108	Metro Facilities Pvt Ltd	84500	INR	23-09-2026 12:52	INV-20129	ERP remittance
TXN-10130	VEND-106	Nimbus Cloud Services	27500	INR	29-09-2026 13:29	INV-20130	Supplier invoice settlement
TXN-10131	VEND-103	Apex Office Supplies	22000	INR	04-09-2026 09:45	INV-20131	Goods receipt settlement
TXN-10132	VEND-108	Metro Facilities Pvt Ltd	27500	INR	26-09-2026 04:39	INV-20132	Supplier invoice settlement
TXN-10133	VEND-101	Global Logistics Solutions	42000	INR	07-09-2026 12:26	INV-20133	ERP remittance
TXN-10134	VEND-102	Vertex Industrial Systems	180000	INR	22-09-2026 09:34	INV-20134	Service invoice payment
TXN-10135	VEND-105	Orion Manufacturing Co	27500	INR	06-09-2026 22:10	INV-20135	Purchase order payment
TXN-10136	VEND-100	TechNova India Pvt Ltd	34000	INR	21-09-2026 23:18	INV-20136	Purchase order payment
TXN-10137	VEND-101	Global Logistics Solutions	22000	INR	25-09-2026 10:48	INV-20137	ERP remittance
TXN-10138	VEND-108	Metro Facilities Pvt Ltd	67500	INR	15-09-2026 00:42	INV-20138	Goods receipt settlement
TXN-10139	VEND-109	Sapphire Security Systems	18500	INR	08-09-2026 03:58	INV-20139	ERP remittance
TXN-10140	VEND-108	Metro Facilities Pvt Ltd	34000	INR	16-09-2026 16:19	INV-20140	Supplier invoice settlement
TXN-10141	VEND-108	Metro Facilities Pvt Ltd	27500	INR	07-09-2026 01:32	INV-20141	Service invoice payment
TXN-10142	VEND-106	Nimbus Cloud Services	180000	INR	06-09-2026 02:23	INV-20142	Goods receipt settlement
TXN-10143	VEND-101	Global Logistics Solutions	56000	INR	29-09-2026 04:26	INV-20143	ERP remittance
TXN-10144	VEND-105	Orion Manufacturing Co	8500	INR	13-09-2026 10:37	INV-20144	Supplier invoice settlement
TXN-10145	VEND-105	Orion Manufacturing Co	22000	INR	01-10-2026 05:21	INV-20145	Purchase order payment
TXN-10146	VEND-104	BluePeak Consulting	56000	INR	29-09-2026 08:50	INV-20146	Service invoice payment
TXN-10147	VEND-105	Orion Manufacturing Co	125000	INR	12-09-2026 16:11	INV-20147	Supplier invoice settlement
TXN-10148	VEND-101	Global Logistics Solutions	56000	INR	30-09-2026 08:52	INV-20148	Purchase order payment
TXN-10149	VEND-102	Vertex Industrial Systems	15000	INR	11-09-2026 19:43	INV-20149	Purchase order payment
TXN-10150	VEND-103	Apex Office Supplies	84500	INR	04-09-2026 00:02	INV-20150	Service invoice payment
TXN-10151	VEND-104	BluePeak Consulting	8500	INR	27-09-2026 17:48	INV-20151	Service invoice payment
TXN-10152	VEND-100	TechNova India Pvt Ltd	8500	INR	27-09-2026 17:44	INV-20152	Supplier invoice settlement
TXN-10153	VEND-101	Global Logistics Solutions	12000	INR	25-09-2026 01:17	INV-20153	Goods receipt settlement
TXN-10154	VEND-103	Apex Office Supplies	56000	INR	22-09-2026 03:08	INV-20154	Service invoice payment
TXN-10155	VEND-108	Metro Facilities Pvt Ltd	34000	INR	27-09-2026 13:20	INV-20155	ERP remittance
TXN-10156	VEND-109	Sapphire Security Systems	125000	INR	03-09-2026 13:17	INV-20156	Supplier invoice settlement
TXN-10157	VEND-109	Sapphire Security Systems	84500	INR	25-09-2026 23:56	INV-20157	Service invoice payment
TXN-10158	VEND-103	Apex Office Supplies	15000	INR	14-09-2026 09:33	INV-20158	Goods receipt settlement
TXN-10159	VEND-106	Nimbus Cloud Services	92000	INR	28-09-2026 02:49	INV-20159	Service invoice payment
TXN-10160	VEND-107	Prime Components India	84500	INR	28-09-2026 12:09	INV-20160	ERP remittance
TXN-10161	VEND-109	Sapphire Security Systems	12000	INR	08-09-2026 00:48	INV-20161	Service invoice payment
TXN-10162	VEND-105	Orion Manufacturing Co	56000	INR	13-09-2026 11:54	INV-20162	Supplier invoice settlement
TXN-10163	VEND-105	Orion Manufacturing Co	180000	INR	20-09-2026 05:54	INV-20163	Purchase order payment
TXN-10164	VEND-105	Orion Manufacturing Co	22000	INR	27-09-2026 00:06	INV-20164	Goods receipt settlement
TXN-10165	VEND-100	TechNova India Pvt Ltd	27500	INR	19-09-2026 16:49	INV-20165	Goods receipt settlement
TXN-10166	VEND-109	Sapphire Security Systems	15000	INR	29-09-2026 03:34	INV-20166	Purchase order payment
TXN-10167	VEND-100	TechNova India Pvt Ltd	18500	INR	13-09-2026 10:17	INV-20167	ERP remittance
TXN-10168	VEND-106	Nimbus Cloud Services	84500	INR	07-09-2026 23:55	INV-20168	Purchase order payment
TXN-10169	VEND-106	Nimbus Cloud Services	92000	INR	15-09-2026 18:57	INV-20169	Goods receipt settlement
TXN-10170	VEND-107	Prime Components India	12000	INR	23-09-2026 08:17	INV-20170	Purchase order payment
TXN-10171	VEND-108	Metro Facilities Pvt Ltd	15000	INR	19-09-2026 13:06	INV-20171	Purchase order payment
TXN-10172	VEND-109	Sapphire Security Systems	27500	INR	13-09-2026 08:31	INV-20172	ERP remittance
TXN-10173	VEND-100	TechNova India Pvt Ltd	84500	INR	04-09-2026 21:01	INV-20173	Goods receipt settlement
TXN-10174	VEND-100	TechNova India Pvt Ltd	15000	INR	18-09-2026 00:13	INV-20174	Supplier invoice settlement
TXN-10175	VEND-106	Nimbus Cloud Services	18500	INR	14-09-2026 13:07	INV-20175	ERP remittance
TXN-10176	VEND-103	Apex Office Supplies	8500	INR	20-09-2026 03:40	INV-20176	Goods receipt settlement
TXN-10177	VEND-102	Vertex Industrial Systems	42000	INR	08-09-2026 09:46	INV-20177	Purchase order payment
TXN-10178	VEND-106	Nimbus Cloud Services	34000	INR	08-09-2026 17:04	INV-20178	ERP remittance
TXN-10179	VEND-103	Apex Office Supplies	42000	INR	07-09-2026 18:30	INV-20179	Goods receipt settlement
TXN-10180	VEND-108	Metro Facilities Pvt Ltd	22000	INR	26-09-2026 14:45	INV-20180	Purchase order payment
TXN-10181	VEND-109	Sapphire Security Systems	34000	INR	30-09-2026 17:53	INV-20181	Supplier invoice settlement
TXN-10182	VEND-107	Prime Components India	56000	INR	22-09-2026 18:13	INV-20182	Goods receipt settlement
TXN-10183	VEND-102	Vertex Industrial Systems	12000	INR	29-09-2026 10:02	INV-20183	Service invoice payment
TXN-10184	VEND-109	Sapphire Security Systems	67500	INR	25-09-2026 01:44	INV-20184	Service invoice payment
TXN-10185	VEND-102	Vertex Industrial Systems	67500	INR	12-09-2026 02:47	INV-20185	Purchase order payment
TXN-10186	VEND-105	Orion Manufacturing Co	22000	INR	20-09-2026 14:00	INV-20186	Goods receipt settlement
TXN-10187	VEND-107	Prime Components India	8500	INR	12-09-2026 15:02	INV-20187	Service invoice payment
TXN-10188	VEND-105	Orion Manufacturing Co	12000	INR	28-09-2026 23:17	INV-20188	ERP remittance
TXN-10189	VEND-102	Vertex Industrial Systems	125000	INR	11-09-2026 18:19	INV-20189	Purchase order payment
TXN-10190	VEND-102	Vertex Industrial Systems	18500	INR	16-09-2026 22:51	INV-20190	Service invoice payment
TXN-10191	VEND-108	Metro Facilities Pvt Ltd	180000	INR	24-09-2026 13:13	INV-20191	Supplier invoice settlement
TXN-10192	VEND-101	Global Logistics Solutions	22000	INR	23-09-2026 05:33	INV-20192	Service invoice payment
TXN-10193	VEND-107	Prime Components India	92000	INR	05-09-2026 06:38	INV-20193	Goods receipt settlement
TXN-10194	VEND-102	Vertex Industrial Systems	67500	INR	01-09-2026 14:50	INV-20194	Purchase order payment
TXN-10195	VEND-108	Metro Facilities Pvt Ltd	125000	INR	08-09-2026 23:34	INV-20195	Service invoice payment
TXN-10196	VEND-100	TechNova India Pvt Ltd	56000	INR	30-09-2026 06:54	INV-20196	Goods receipt settlement
TXN-10197	VEND-106	Nimbus Cloud Services	92000	INR	10-09-2026 16:01	INV-20197	Service invoice payment
TXN-10198	VEND-106	Nimbus Cloud Services	22000	INR	27-09-2026 04:47	INV-20198	ERP remittance
TXN-10199	VEND-101	Global Logistics Solutions	84500	INR	30-09-2026 21:18	INV-20199	Service invoice payment
TXN-10200	VEND-104	BluePeak Consulting	42000	INR	19-09-2026 09:17	INV-20200	Service invoice payment
TXN-10201	VEND-108	Metro Facilities Pvt Ltd	27500	INR	24-09-2026 10:25	INV-20201	Purchase order payment
TXN-10202	VEND-100	TechNova India Pvt Ltd	56000	INR	22-09-2026 23:47	INV-20202	Service invoice payment
TXN-10203	VEND-101	Global Logistics Solutions	8500	INR	08-09-2026 16:22	INV-20203	Purchase order payment
TXN-10204	VEND-106	Nimbus Cloud Services	56000	INR	23-09-2026 08:02	INV-20204	Goods receipt settlement
TXN-10205	VEND-100	TechNova India Pvt Ltd	180000	INR	10-09-2026 06:00	INV-20205	Purchase order payment
TXN-10206	VEND-107	Prime Components India	8500	INR	06-09-2026 17:07	INV-20206	Supplier invoice settlement
TXN-10207	VEND-104	BluePeak Consulting	84500	INR	01-09-2026 15:06	INV-20207	Service invoice payment
TXN-10208	VEND-106	Nimbus Cloud Services	8500	INR	23-09-2026 18:54	INV-20208	ERP remittance
TXN-10209	VEND-101	Global Logistics Solutions	15000	INR	21-09-2026 18:02	INV-20209	Service invoice payment
TXN-10210	VEND-100	TechNova India Pvt Ltd	92000	INR	06-09-2026 00:00	INV-20210	Service invoice payment
TXN-10211	VEND-106	Nimbus Cloud Services	42000	INR	17-09-2026 09:11	INV-20211	Service invoice payment
TXN-10212	VEND-102	Vertex Industrial Systems	15000	INR	20-09-2026 14:54	INV-20212	Purchase order payment
TXN-10213	VEND-106	Nimbus Cloud Services	56000	INR	23-09-2026 16:40	INV-20213	Purchase order payment
TXN-10214	VEND-107	Prime Components India	27500	INR	05-09-2026 18:11	INV-20214	Goods receipt settlement
TXN-10215	VEND-104	BluePeak Consulting	125000	INR	11-09-2026 07:18	INV-20215	Goods receipt settlement
TXN-10216	VEND-105	Orion Manufacturing Co	34000	INR	06-09-2026 16:21	INV-20216	ERP remittance
TXN-10217	VEND-102	Vertex Industrial Systems	15000	INR	03-09-2026 12:30	INV-20217	ERP remittance
TXN-10218	VEND-107	Prime Components India	8500	INR	18-09-2026 07:46	INV-20218	Service invoice payment
TXN-10219	VEND-109	Sapphire Security Systems	12000	INR	02-09-2026 08:17	INV-20219	Service invoice payment
TXN-10220	VEND-104	BluePeak Consulting	15000	INR	15-09-2026 19:59	INV-20220	Purchase order payment
TXN-10221	VEND-108	Metro Facilities Pvt Ltd	8500	INR	10-09-2026 19:54	INV-20221	Supplier invoice settlement
TXN-10222	VEND-100	TechNova India Pvt Ltd	56000	INR	04-09-2026 00:32	INV-20222	Supplier invoice settlement
TXN-10223	VEND-104	BluePeak Consulting	42000	INR	25-09-2026 19:14	INV-20223	Supplier invoice settlement
TXN-10224	VEND-105	Orion Manufacturing Co	84500	INR	15-09-2026 01:40	INV-20224	Supplier invoice settlement
TXN-10225	VEND-105	Orion Manufacturing Co	8500	INR	01-10-2026 07:04	INV-20225	Service invoice payment
TXN-10226	VEND-102	Vertex Industrial Systems	92000	INR	28-09-2026 20:00	INV-20226	Service invoice payment
TXN-10227	VEND-108	Metro Facilities Pvt Ltd	27500	INR	04-09-2026 00:49	INV-20227	Purchase order payment
TXN-10228	VEND-105	Orion Manufacturing Co	180000	INR	14-09-2026 00:32	INV-20228	ERP remittance
TXN-10229	VEND-107	Prime Components India	27500	INR	28-09-2026 17:08	INV-20229	Goods receipt settlement
TXN-10230	VEND-101	Global Logistics Solutions	67500	INR	11-09-2026 05:28	INV-20230	ERP remittance
TXN-10231	VEND-107	Prime Components India	42000	INR	05-09-2026 01:55	INV-20231	Goods receipt settlement
TXN-10232	VEND-104	BluePeak Consulting	84500	INR	17-09-2026 09:44	INV-20232	Supplier invoice settlement
TXN-10233	VEND-104	BluePeak Consulting	84500	INR	19-09-2026 08:51	INV-20233	Goods receipt settlement
TXN-10234	VEND-109	Sapphire Security Systems	92000	INR	17-09-2026 21:28	INV-20234	ERP remittance
TXN-10235	VEND-106	Nimbus Cloud Services	18500	INR	12-09-2026 02:37	INV-20235	Purchase order payment
TXN-10236	VEND-105	Orion Manufacturing Co	42000	INR	05-09-2026 06:16	INV-20236	Purchase order payment
TXN-10237	VEND-105	Orion Manufacturing Co	42000	INR	04-09-2026 03:06	INV-20237	Service invoice payment
TXN-10238	VEND-107	Prime Components India	56000	INR	04-09-2026 10:31	INV-20238	Goods receipt settlement
TXN-10239	VEND-102	Vertex Industrial Systems	34000	INR	23-09-2026 14:06	INV-20239	Goods receipt settlement
TXN-10240	VEND-108	Metro Facilities Pvt Ltd	42000	INR	14-09-2026 07:10	INV-20240	Purchase order payment
TXN-10241	VEND-108	Metro Facilities Pvt Ltd	18500	INR	21-09-2026 17:06	INV-20241	Purchase order payment
TXN-10242	VEND-107	Prime Components India	8500	INR	28-09-2026 09:00	INV-20242	Purchase order payment
TXN-10243	VEND-104	BluePeak Consulting	27500	INR	01-10-2026 02:05	INV-20243	Purchase order payment
TXN-10244	VEND-100	TechNova India Pvt Ltd	34000	INR	04-09-2026 11:15	INV-20244	Goods receipt settlement
TXN-10245	VEND-107	Prime Components India	180000	INR	05-09-2026 18:45	INV-20245	Supplier invoice settlement
TXN-10246	VEND-109	Sapphire Security Systems	67500	INR	06-09-2026 09:19	INV-20246	Purchase order payment
TXN-10247	VEND-108	Metro Facilities Pvt Ltd	84500	INR	18-09-2026 00:28	INV-20247	Supplier invoice settlement
